ID,tipo,nombre exacto,fuente de alcance,estado en Git,estado en Partial,activo/inactivo,hallazgo,hardcodes,dependencias,clasificación,justificación,corrección propuesta,prueba requerida,evidencia requerida,riesgo de regresión,bloqueo,responsable,prioridad,estado en Producción,versión activa en Producción,evidencia Producción,impacto real por PEKING,acción requerida
C10,Aura,CommunityControl,Documento §5 + mensajes Luis,Existe: force-app/main/default/aura/CommunityControl; conciliado Lote 0.1,Existe; base técnica conciliada,N/A,Hardcodes vigentes; conflicto Git/Partial resuelto,IDs 005...; nombres de sucursales; Uruca,Controlador Apex; Event; Sucursal; Calendar,BLOQUEADO,No existe catálogo oficial PEKING y hay desfase de fuente,Parametrizar tras reconciliar y recibir reglas oficiales,Portal/control por empresa y sucursal,Video y configuración aprobada,Crítico,Sucursales/servicios/usuarios PEKING,Negocio/Diego,P0,No consultado; autorización de lectura limitada a Flows,N/A,N/A,Servicios/sucursales y restricciones geográficas fijas,Parametrizar tras reconciliar y recibir reglas oficiales
C11,Aura,CommunityCalendar,Documento §5 + mensajes Luis,Existe: force-app/main/default/aura/CommunityCalendar,Existe; contenido idéntico,N/A,Calendario genérico por capacidad de sucursal,No se detectó compañía fija directa,Componentes padre; Event; capacidad por Sucursal,SIN CAMBIO TÉCNICO,No decide Empresa ni Pricebook; recibe capacidad/sucursal de padres,Regresión únicamente al modificar componentes padre,Disponibilidad por sucursal y zona horaria,Video de calendario desde cada portal,Medio,Ninguno técnico; depende de datos oficiales,QA,P2,No consultado; autorización de lectura limitada a Flows,N/A,N/A,Calendario genérico por capacidad de sucursal,Regresión únicamente al modificar componentes padre
C12,Aura,customerCommunity_lwc,Documento §5 + mensajes Luis,Existe: force-app/main/default/aura/customerCommunity_lwc; conciliado Lote 0.1,Existe; base técnica conciliada,N/A,Hardcodes vigentes; conflicto Git/Partial resuelto,IDs 005...; Otobai; sucursales; Uruca,Controlador Apex; Event; Sucursal; CommunityCalendar,BLOQUEADO,Partial difiere y faltan decisiones operativas PEKING,Reconciliar cmp y externalizar configuración,Portal cliente por empresa/sucursal,Video completo y capturas de configuración,Crítico,Servicios/sucursales/usuarios PEKING,Negocio/Diego,P0,No consultado; autorización de lectura limitada a Flows,N/A,N/A,Servicios/usuarios/sucursales fijos y restricción Uruca,Reconciliar cmp y externalizar configuración
C13,Aura,callcenterCommunity_lwc,Documento §5 + mensajes Luis,Existe: force-app/main/default/aura/callcenterCommunity_lwc; conciliado Lote 0.1,Existe; base técnica conciliada,N/A,Hardcodes vigentes; conflicto Git/Partial resuelto,IDs 005...; Otobai; Uruca,Controlador Apex; Event; Sucursal; CommunityCalendar,BLOQUEADO,No puede extenderse sin datos y reconciliación,Reconciliar y configurar por Empresa,Call center para 3 empresas y perfiles QA,Video y evidencia de citas/eventos,Crítico,Operación call center PEKING,Negocio/Diego,P0,No consultado; autorización de lectura limitada a Flows,N/A,N/A,Mismo catálogo fijo de servicios y sucursales,Reconciliar y configurar por Empresa
C14,LWC,assetGarantiaLookupLwc,Documento/Manual + mensajes Luis,Existe: force-app/main/default/lwc/assetGarantiaLookupLwc,Existe; contenido idéntico,N/A,Solo muestra sucursal; regla empresarial reside en Apex,Sin hardcode empresarial visible,AssetGarantiaController; Asset; garantía; sucursal; Event,BLOQUEADO,No puede clasificarse sin validar que Apex resuelve Empresa y garantía PEKING,Auditar/ajustar controlador solo tras regla de garantía,Validación de garantía por 3 empresas,Video y resultado Apex/Asset/Event,Alto,Cobertura de garantía PEKING,Negocio/Diego,P0,No consultado; autorización de lectura limitada a Flows,N/A,N/A,Solo muestra sucursal; regla empresarial reside en Apex,Auditar/ajustar controlador solo tras regla de garantía
C15,LWC,cT_Estadisticas_Inventario_lwc,Documento §10 + mensajes Luis,Existe: force-app/main/default/lwc/cT_Estadisticas_Inventario_lwc (versionado desde Partial en Lote 0.1),Existe; 3 recursos; base conciliada,N/A,Bundle exclusivo de usados versionado sin modificación funcional,Ninguno relevante a PEKING,cT_Registro_Avaluos_ctrl.obtenerEstadisticasTodosModelos; FlexiPage Estadisticas_Inventario_Usados,BLOQUEADO,Se conserva la clasificación funcional previa; el versionamiento técnico quedó resuelto,No modificar por PEKING; conservar versionamiento,Regresión de estadísticas de usados,Capturas de comportamiento vigente,Bajo,Revisión funcional pendiente registrada en auditoría,Diego,P2,No consultado; autorización de lectura limitada a Flows,N/A,N/A,Sin impacto: exclusivo de usados,No trabajar para PEKING
C16,LWC,rm_vu_crear_opp,Documento §10 + mensajes Luis,Existe: force-app/main/default/lwc/rm_vu_crear_opp,Existe; contenido idéntico,N/A,Contenedor de rm_vu_inventario; no pasa recordId explícito en markup observado,Sin empresa/Pricebook fijo,rm_vu_inventario; Opportunity host,NO APLICA,Luis confirmó que los procesos y componentes exclusivos de vehículos usados no deben soportar PEKING.,Confirmar propagación de recordId y empresa sin cambiar interfaz innecesariamente,Crear oportunidad real desde inventario,Video desde entrada real Ver inventario,Alto,Ninguno; decisión confirmada por Luis.,N/A,N/A,No consultado; autorización de lectura limitada a Flows,N/A,N/A,No aplica: componente exclusivo de vehículos usados; Luis confirmó que PEKING no participa.,No extender ni probar con PEKING; conservar regresión de usados fuera del alcance PEKING.
C17,LWC,rm_vn_get_record_opp_record_types,Documento/Manual + mensajes Luis,Existe: force-app/main/default/lwc/rm_vn_get_record_opp_record_types,Existe; contenido idéntico,N/A,Lista Record Types dinámicamente; excepción Kawasaki,Kawasaki→kawa,RM_VN_GetOppRecordTypes_Ctrl; Opportunity RecordType,BLOQUEADO,Record Types no equivalen automáticamente a Empresa y PEKING no debe inventarse,Definir filtrado/configuración por Empresa si negocio lo requiere,Listado por perfiles y empresa; selección Kawasaki,Video y DeveloperNames retornados,Medio,Mapeo Empresa↔Record Type PEKING,Negocio/Diego,P1,No consultado; autorización de lectura limitada a Flows,N/A,N/A,Lista Record Types dinámicamente; excepción Kawasaki,Definir filtrado/configuración por Empresa si negocio lo requiere
C18,LWC,rm_vn_crear_opp_home,Documento/Manual + mensajes Luis,Existe: force-app/main/default/lwc/rm_vn_crear_opp_home,Existe; contenido idéntico,N/A,Contenedor sin referencias empresariales directas,Ninguno visible,Componentes hijos de creación de oportunidad,SIN CAMBIO TÉCNICO,La decisión empresarial pertenece a hijos/controladores,Regresión de composición; no añadir lógica duplicada,Navegación desktop y eventos de hijos,Video de recorrido completo,Medio,Dependiente de cierre de hijos,QA,P2,No consultado; autorización de lectura limitada a Flows,N/A,N/A,Contenedor sin referencias empresariales directas,Regresión de composición; no añadir lógica duplicada
C19,LWC,rm_vn_crear_opp_home_movil,Documento/Manual + mensajes Luis,Existe: force-app/main/default/lwc/rm_vn_crear_opp_home_movil,Existe; contenido idéntico,N/A,Contenedor móvil sin lógica empresarial directa,Ninguno visible,Componentes hijos móviles,SIN CAMBIO TÉCNICO,No selecciona Empresa/Pricebook por sí mismo,Mantener paridad con desktop,Recorrido móvil completo,Video móvil,Medio,Dependiente de hijos,QA,P2,No consultado; autorización de lectura limitada a Flows,N/A,N/A,Contenedor móvil sin lógica empresarial directa,Mantener paridad con desktop
C20,LWC,rm_vn_crear_opp_general,Documento/Manual + mensajes Luis,Existe: force-app/main/default/lwc/rm_vn_crear_opp_general,Existe; contenido idéntico,N/A,Sin referencias empresariales directas en bundle,Ninguno visible,Flujos/componentes de creación general,SIN CAMBIO TÉCNICO,No se halló decisión binaria en el bundle,Regresión de integración solamente,Crear oportunidad general para cada empresa,Video y Opportunity resultante,Medio,Depende de Flow/Apex invocados,QA,P1,No consultado; autorización de lectura limitada a Flows,N/A,N/A,Sin referencias empresariales directas en bundle,Regresión de integración solamente
C21,LWC,busquedaDetallada,Documento/Manual + mensajes Luis,Existe: force-app/main/default/lwc/busquedaDetallada; conciliado Lote 0.1,Existe; base técnica conciliada,N/A,Pricebooks sin filtro empresarial; conflicto Git/Partial resuelto,Selección global de Pricebook,BusquedaDetalladaController; Pricebook2; ServiceTerritory; componentes detalle; EmpresaPricebookResolver Lote 1 desplegado en Partial,MODIFICAR,Permite seleccionar Pricebook de otra Empresa y Partial difiere,Filtrar por Empresa_Operadora__c y validar servidor; reconciliar diff,Búsqueda con Pricebooks de 3 empresas y acceso cruzado,Video y respuesta Apex con empresa,Alto,Definir fuente Empresa en contexto de búsqueda,Negocio/Diego,P0,No consultado; autorización de lectura limitada a Flows,N/A,N/A,Carga todos los Pricebooks activos sin filtro empresarial visible,Filtrar por Empresa_Operadora__c y validar servidor; reconciliar diff; adoptar resolveForSource en el lote funcional correspondiente
C22,LWC,qoSearchDetailProduct,Documento/Manual + mensajes Luis,Existe: force-app/main/default/lwc/qoSearchDetailProduct; conciliado Lote 0.1,Existe; base técnica conciliada,N/A,Contrato empresaFactura vigente; conflicto Git/Partial resuelto,Bodega Apartados por nombre en lógica relacionada,WoliGridController2; pricebookReferenceDetails; Bodega; Quote; EmpresaPricebookResolver Lote 1 desplegado en Partial,BLOQUEADO,empresaFactura no está definida como Empresa_Operadora__c y Partial difiere,Reconciliar y reemplazar contrato ambiguo por clave empresarial estable,Producto Quote por Empresa/bodega/Softland,Video y payload/resultados Softland,Alto,Mapeo empresaFactura y bodega principal PEKING,Negocio/Diego,P0,No consultado; autorización de lectura limitada a Flows,N/A,N/A,Pasa empresaFactura a referencias Softland; bodegas dinámicas,Reconciliar y reemplazar contrato ambiguo por clave empresarial estable; adoptar resolveForSource en el lote funcional correspondiente
C23,LWC,woSearchDetailProduct,Documento/Manual + mensajes Luis,Existe: force-app/main/default/lwc/woSearchDetailProduct; conciliado Lote 0.1,Existe; base técnica conciliada,N/A,Contrato empresaFactura vigente; conflicto Git/Partial resuelto,includes('apartados'),WoliGridController; pricebookReferenceDetails; Bodega; WorkOrder; EmpresaPricebookResolver Lote 1 desplegado en Partial,BLOQUEADO,Nombre de bodega y empresaFactura son contratos no escalables; Partial difiere,Usar identificadores/configuración empresarial aprobados,Producto WO por Empresa/bodega/Softland,Video y trazabilidad de selección,Alto,Bodegas oficiales y empresaFactura PEKING,Negocio/Diego,P0,No consultado; autorización de lectura limitada a Flows,N/A,N/A,Usa empresaFactura y detecta bodega Apartados por nombre,Usar identificadores/configuración empresarial aprobados; adoptar resolveForSource en el lote funcional correspondiente
C24,LWC,localizacionDetails,Documento/Manual + mensajes Luis,Existe: force-app/main/default/lwc/localizacionDetails,Existe; contenido idéntico,N/A,Consulta localizaciones Softland por empresaFactura,Sin nombre/Id fijo visible,WoliGridController.getSoftlandLocations; Softland; Bodega,BLOQUEADO,Contrato empresaFactura debe mapearse a Empresa principal,Cambiar contrato en controlador tras definición funcional,Localizaciones para 3 empresas y respuesta vacía/error,Video y respuesta Softland anonimizada,Alto,Código ERP y localizaciones PEKING,Negocio/Diego,P0,No consultado; autorización de lectura limitada a Flows,N/A,N/A,Consulta localizaciones Softland por empresaFactura,Cambiar contrato en controlador tras definición funcional
C25,LWC,pricebookReferenceDetails,Documento/Manual + mensajes Luis,Existe: force-app/main/default/lwc/pricebookReferenceDetails; conciliado Lote 0.1,Existe; base técnica conciliada,N/A,Referencias Softland vigentes; conflicto Git/Partial resuelto,Nombre genérico empresaFactura; sin Id de Pricebook fijo,WoliGridController.getSoftlandPriceReferences; Softland; Pricebook; EmpresaPricebookResolver Lote 1 desplegado en Partial,BLOQUEADO,No debe elegirse una versión sin reconciliar y falta mapeo empresarial,Reconciliar JS y usar Empresa/Codigo_ERP estable,Referencias por 3 empresas y producto común,Video y resultados por empresa,Alto,Mapeo empresaFactura y precios PEKING,Negocio/Diego,P0,No consultado; autorización de lectura limitada a Flows,N/A,N/A,Referencias Softland por empresaFactura; desfase Git/Partial,Reconciliar JS y usar Empresa/Codigo_ERP estable; adoptar resolveForSource en el lote funcional correspondiente
